25時ミク,25-ji miku
カレン・オルテンシア（アムール〔カレン〕）（Fate）,caren hortensia (amor caren)
カルロス・オリヴェイラ（バイオハザード）,carlos oliviera (resident evil)
カルロッタ（鳴潮）,carlotta (wuthering waves)
カルメン（Project Moon）,carmen (project moon)
カーミラ（Fate）,carmilla (fate)
ゼイユ,carmine (pokemon)
カーネイジ（スパイダーマン）,carnage (spider-man)
カーネリアン（アークナイツ）,carnelian (arknights)
キャロ・ル・ルシエ,caro ru lushe
カルパッチョ,carpaccio (girls und panzer)
カサンドラ・アレクサンドル,cassandra alexandra
カチュア,catria (fire emblem)
シャトラ,catura (granblue fantasy)
カリフラ（ドラゴンボール）,caulifla (dragon ball)
セシリア,cecilia (shiro seijo to kuro bokushi)
セシリア・オルコット,cecilia alcott
セシリア・イマーグリーン,cecilia immergreen
セシリア・イマーグリーン（初期衣装）,cecilia immergreen (1st costume)
セリス・シェール,celes chere
セレスティア・ルーデンベルク,celestia ludenberg
セリカ,celica (fire emblem)
セリーヌ,celine (fire emblem)
セントレア・シアヌス,centorea shianus
刻俄柏,ceobe (arknights)
ケルベロス,cerberus (helltaker)
セレス・ファウナ,ceres fauna
セレス・ファウナ（ゴス）,ceres fauna (goth)
シーザリオ（ウマ娘）,cesario (umamusume)
セイロン,ceylon (arknights)
チェン（歳月の余燼）（アークナイツ）,ch'en (ageless afterglow) (arknights)
チェン,ch'en (arknights)
遊龍チェン,ch'en the holungday (arknights)
茶柱転子,chabashira tenko
茶々（Fate）,chacha (fate)
チャイカ・トラバント,chaika trabant
ワンワン,chain chomp
シャンデラ,chandelure
チャンド,chando (ado)
Changli（鳴潮）,changli (wuthering waves)
長生,changsheng (genshin impact)
恰帕耶夫（アズールレーン）,chapayev (azur lane)
シャア・アズナブル,char aznable
キャラ（UNDERTALE）,chara (undertale)
リザードン,charizard
シャルロッテ（グラブル）,charlotta (granblue fantasy)
シャルロット（原神）,charlotte (genshin impact)
シャルロッテ,charlotte (madoka magica)
シャーロット・オーリン,charlotte aulin
シャルロット・コルデー（Fate）,charlotte corday (fate)
シャルロット・デュノア,charlotte dunois
シャーロット・E・イェーガー,charlotte e. yeager
ヒトカゲ,charmander
リザード（ポケモン）,charmeleon (pokemon)
八雲橙猫猫（東方Project）,chen
鎮海（アズールレーン）,chen hai (azur lane)
チェレン,cheren (pokemon)
シェリア,cheria barnes
チェリノ,cherino (blue archive)
ケセド,chesed (project moon)
柴郡（アズールレーン）,cheshire (azur lane)
チェシャ猫,cheshire cat (alice in wonderland)
シュヴァルグラン（ウマ娘）,cheval grand (umamusume)
シュヴァリエ・デオン（Fate）,chevalier d'eon (fate)
シュヴルーズ（原神）,chevreuse (genshin impact)
チチ,chi-chi (dragon ball)
千级魚雷巡洋艦（艦隊これくしょん）,chi-class torpedo cruiser
千秋（ブルーアーカイブ）,chiaki (blue archive)
ちびミク,chibi miku
千鳥かなめ,chidori kaname
局長（無期迷途）,chief (path to nowhere)
チエル,chieru (princess connect!)
シエスタ410,chiester410
シエスタ45,chiester45
千早愛音（アイドルマスター）,chihaya anon
千尋（ブルーアーカイブ）,chihiro (blue archive)
ちぃ（Chobits）,chii (chobits)
チコリータ,chikorita
筑摩（艦隊これくしょん）,chikuma (kancolle)
チルチャック,chilchuck tims
チリーン,chimecho
王耀,china (hetalia)
千夏（ブルーアーカイブ）,chinatsu (blue archive)
千織（原神）,chiori (genshin impact)
千世（ブルーアーカイブ）,chise (blue archive)
千世（水着）（ブルーアーカイブ）,chise (swimsuit) (blue archive)
千反田える,chitanda eru
千岁（艦隊これくしょん）,chitose (kancolle)
千代田（艦隊これくしょん）,chiyoda (kancolle)
千代田桃,chiyoda momo
クロエ（ファイアーエムブレム）,chloe (fire emblem)
サクラギ・コハル,chloe (pokemon)
クロエ,chloe (princess connect!)
クロエ・フォン・アインツベルン（Fate/kaleid liner）,chloe von einzbern
クロエ・フォン・アインツベルン（アーチャー・インストール）（Fate/kaleid liner）,chloe von einzbern (archer install)
チョコボ,chocobo
ショコラ,chocola (nekopara)
ちょむすけ,chomusuke
チョンユエ（アークナイツ）,chong yue (arknights)
重雲（原神）,chongyun (genshin impact)
長鲸（艦隊これくしょん）,chougei (kancolle)
鳥海（艦隊これくしょん）,choukai (kancolle)
鳥海改二（艦隊これくしょん）,choukai kai ni (kancolle)
超絶最かわてんしちゃん,chouzetsusaikawa tenshi-chan
クリス,chris (konosuba)
クリス・レッドフィールド,chris redfield
クロム（FE覚醒）,chrom (fire emblem)
クローム髑髏,chrome dokuro
チュアチュリー・パンランチ,chuatury panlunch
チャック,chuck (psg)
春麗,chun-li
シド・ハイウインド（FF7）,cid highwind (ff7)
シエル先輩,ciel (tsukihime)
シンシャ,cinnabar (houseki no kuni)
シナモロール,cinnamoroll
キルケー（Fate）,circe (fate)
チルノ（東方Project）,cirno
シトラリ,citlali (genshin impact)
シトリニカ,citrinne (fire emblem)
クレア・レッドフィールド,claire redfield
クラーラ（崩壊：スターレイル）,clara (honkai  star rail)
クラリス,clarisse (granblue fantasy)
クラーク・ケント,clark kent
クロード・フォン・リーガン,claude von riegan
ピッピ,clefairy
クレオパトラ（Fate）,cleopatra (fate)
克利夫蘭（アズールレーン）,cleveland (azur lane)
崖心,cliffheart (arknights)
クロリンデ（原神）,clorinde (genshin impact)
クロージャ,closure (arknights)
クラウド・ストライフ,cloud strife
クラウンピース（東方Project）,clownpiece
Clumsy・Nun（Diva）,clumsy nun (diva)
コレット,colette brunel
コレイ（原神）,collei (genshin impact)
科羅拉多（艦隊これくしょん）,colorado (kancolle)
コロンビーナ（原神）,columbina (genshin impact)
指挥官泰斯特（艦隊これくしょん）,commandant teste (kancolle)
マイルカ（けものフレンズ）,common dolphin (kemono friends)
アライグマ（けものフレンズ）,common raccoon (kemono friends)
コンスタンツェ=フォン=ヌーヴェル,constance von nuvelle
加富爾伯爵（艦隊これくしょん）,conte di cavour (kancolle)
コパノリッキー（ウマ娘）,copano rickey (umamusume)
ティアモ,cordelia (fire emblem)
可琳·威克斯,corin wickes
コーネリア,cornelia li britannia
カムイ（女性）（ファイアーエムブレム）,corrin (female) (fire emblem)
カムイ（男性）（ファイアーエムブレム）,corrin (male) (fire emblem)
カガリ（ポケモン）,courtney (pokemon)
コヨーテ（けものフレンズ）,coyote (kemono friends)
クラフト・ロレンス,craft lawrence
クリーム・ザ・ラビット,cream the rabbit
クルー（Among Us）,crewmate (among us)
クリムヴェール,crimvael
クロコダイル,crocodile (one piece)
クロワッサン,croissant (arknights)
クロナ,crona (soul eater)
Crow（ラプラス・ダークネス）,crow (la+ darknesss)
クー子,cthugha (nyaruko-san)
クー・フーリン（Fate）,cu chulainn (fate)
クー・フーリン（Fate/Prototype）,cu chulainn (fate/prototype)
水无月香恋（プリキュア）,cure aqua
黒川愛蓮（プリキュア）,cure beat
青木麗華（プリキュア）,cure beauty
蒼乃美希（プリキュア）,cure berry
花咲蕾（プリキュア）,cure blossom
剣城晶（プリキュア）,cure chocolat
菱川六花（プリキュア）,cure diamond
夢原望（プリキュア）,cure dream
春野遥（プリキュア）,cure flora
冰川伊緒奈（プリキュア）,cure fortune
花寺和佳（プリキュア）,cure grace
星空幸（プリキュア）,cure happy
相田愛（プリキュア）,cure heart
大森悠子（プリキュア）,cure honey
春日野麗（プリキュア）,cure lemonade
愛乃恵（プリキュア）,cure lovely
琴爪缘（プリキュア）,cure macaron
緑川直（プリキュア）,cure march
来海絵里香（プリキュア）,cure marine
キュアメロディ,cure melody
キュアミルキー,cure milky
秋元小町（プリキュア）,cure mint
朝日奈未来（プリキュア）,cure miracle
月影百合（プリキュア）,cure moonlight
调辺亜子（プリキュア）,cure muse (yellow)
東刹那（プリキュア）,cure passion
黄瀬弥生（プリキュア）,cure peace
桃園愛（プリキュア）,cure peach
山吹祈里（プリキュア）,cure pine
和実由依（プリキュア）,cure precious
白雪姫（プリキュア）,cure princess
虹之丘真白（プリキュア）,cure prism
四葉有栖（プリキュア）,cure rosetta
キュアスカイ,cure sky
日野茜（プリキュア）,cure sunny
明堂院樹（プリキュア）,cure sunshine
剣崎真琴（プリキュア）,cure sword
天之川綺羅（プリキュア）,cure twinkle
宇佐美一花（プリキュア）,cure whip
雪城穂乃香（プリキュア）,cure white
キュアワンダフル,cure wonderful
野乃小鳥（プリキュア）,cure yell
カーリーブレイス,curly brace
カレンチャン（ウマ娘）,curren chan (umamusume)
アブリー,cutiefly
シアン,cyan (show by rock!!)
モトトカゲ（ポケモン）,cyclizar (pokemon)
小天鹅（アズールレーン）,cygnet (azur lane)
ヒノアラシ,cyndaquil
セノ（原神）,cyno (genshin impact)
シロナ,cynthia (pokemon)
D.Va（Overwatch）,d.va (overwatch)
大場奈々（アイドルマスター ミリオンライブ！）,daiba nana
大道寺知世,daidouji tomoyo
ダイイチルビー（ウマ娘）,daiichi ruby (umamusume)
ダイタクヘリオス（ウマ娘）,daitaku helios (umamusume)
大東（艦隊これくしょん）,daitou (kancolle)
トライフル☆バケーショ,daiwa scarlet (trifle vacation) (umamusume)
ダイワスカーレット（ウマ娘）,daiwa scarlet (umamusume)
大妖精（東方Project）,daiyousei
ダミアン・デズモンド,damian desmond
丹恒（崩壊：スターレイル）,dan heng (honkai  star rail)
踊り子,dancer (final fantasy)
ダンテ,dante (devil may cry)
ダンテ,dante (limbus company)
ダンツフレーム（ウマ娘）,dantsu flame (umamusume)
ダヌア,danua
デアリングタクト（ウマ娘）,daring tact (umamusume)
大吉嶺（ガールズ＆パンツァー）,darjeeling (girls und panzer)
ダークエルブン・フォレストレンジャー,dark elven forest ranger
ブラック・マジシャン,dark magician
ブラックピット,dark pit
黒桜（Fate）,dark sakura
ダクネス,darkness (konosuba)
ダークライ,darkrai
伊達政宗（戦国BASARA）,date masamune (sengoku basara)
ヒカリ（トレーナー）,dawn (pokemon)
デ・ロイテル,de ruyter (kancolle)
デッドマスター,dead master
デッドプール（Marvel）,deadpool (marvel)
ウルフ（長ネコ）,death (puss in boots)
死神先生（ホロライブ）,death-sensei (mori calliope)
ディードリット,deedlit
デーゲンブレヒャー（アークナイツ）,degenbrecher (arknights)
ディシア（原神）,dehya (genshin impact)
デイダラ,deidara (naruto)
でじこ,dejiko
凸守早苗,dekomori sanae
キハダ,dendra (pokemon)
デンジ,denji (chainsaw man)
電脳少女YouTuberシロ,dennou shoujo siro
破壞者（少女前線）,destroyer (girls' frontline)
毁灭公主（艦隊これくしょん）,destroyer princess
徳意志（アズールレーン）,deutschland (azur lane)
ドール（けものフレンズ）,dhole (kemono friends)
黒魔女ディアベルスター,diabellstar the black witch
ディアルガ（ポケモン）,dialga (pokemon)
ディアマンド,diamant (fire emblem)
ダイヤモンド（宝石の国）,diamond (houseki no kuni)
ダイアナ・キャベンディッシュ,diana cavendish
ディルムッド・オディナ（ランサー）（Fate）,diarmuid ua duibhne (lancer) (fate)
糸鋸圭介,dick gumshoe
黛朵（アズールレーン）,dido (azur lane)
ディルック（原神）,diluc (genshin impact)
ディミトリ・アレクサンドル・ブレーダッド,dimitri alexandre blaiddyd
Dimitri・Alexandre・Blaiddyd（第2部）,dimitri alexandre blaiddyd (post timeskip)
ディオ・ブランドー,dio brando
ディオナ（原神）,diona (genshin impact)
ダイアウルフ（けものフレンズ）,dire wolf (kemono friends)
ディズィー,dizzy (guilty gear)
ジータ,djeeta (granblue fantasy)
ドラノール・A・ノックス,dlanor a. knox
ドーベルマン,dobermann (arknights)
ドブルイニャ・ニキチッチ（Fate）,dobrynya nikitich (fate)
博士,doctor (arknights)
ドクター・ドゥーム（X-MEN）,doctor doom (x-men)
ドドコ（原神）,dodoco (genshin impact)
Dokibird（VTuber）,dokibird (vtuber)
毒ヶ峰リルカ（BLEACH）,dokugamine riruka (bleach)
ドクロくん,dokuro-kun (houshou marine)
多拉（にじさんじ）,dola (nijisanji)
ドンキホーテ（Project Moon）,don quixote (project moon)
どんちゃん,don-chan (usada pekora)
ドンキーコング,donkey kong
ドゥームガイ（DOOM）,doomguy (doom)
ドレミー・スイート,doremy sweet
ドロテア,dorothea arnault
ドロシー（アークナイツ）,dorothy (arknights)
ドロシー（勝利の女神:NIKKE）,dorothy (nikke)
